district,municipal_solid_waste_tpd,construction_waste_tpd
Central & Western,537,73.0
Eastern,591,68.0
Southern,256,90.0
Wan Chai,217,80.0
Hong Kong Island Total,1601,312.0
Kowloon City,360,289.0
Kwun Tong,633,240.0
Sham Shui Po,484,86.0
Wong Tai Sin,349,50.0
Yau Tsim Mong,777,147.0
Kowloon Total,2603,812.0
Kwai Tsing,876,225.0
North,1051,225.0
Sai Kung,425,1155.0
Shatin,1005,170.0
Tai Po,528,169.0
Tsuen Wan,487,51.0
Tuen Mun,797,507.0
Yuen Long,1462,171.0
NT (Except Outlying Islands),6632,2674.0
Cheung Chau,28,
Hei Ling Chau,2,
Lamma Island,9,
Ma Wan,17,
Mui Wo,23,
Lantau,208,
Peng Chau,6,
NT Outlying Islands,293,331.0
